Provinsi,Kabupaten/Kota,Tahun,UMK,Sumber
"Sulawesi Tengah","Kabupaten Banggai Kepulauan",2026,,"SK Gubernur"
"Sulawesi Tengah","Kabupaten Banggai",2026,,"SK Gubernur"
"Sulawesi Tengah","Kabupaten Morowali",2026,,"SK Gubernur"
"Sulawesi Tengah","Kabupaten Poso",2026,,"SK Gubernur"
"Sulawesi Tengah","Kabupaten Donggala",2026,,"SK Gubernur"
"Sulawesi Tengah","Kabupaten Toli-toli",2026,,"SK Gubernur"
"Sulawesi Tengah","Kabupaten Buol",2026,,"SK Gubernur"
"Sulawesi Tengah","Kabupaten Parigi Moutong",2026,,"SK Gubernur"
"Sulawesi Tengah","Kabupaten Tojo Una-una",2026,,"SK Gubernur"
"Sulawesi Tengah","Kabupaten Sigi",2026,,"SK Gubernur"
"Sulawesi Tengah","Kabupaten Banggai Laut",2026,,"SK Gubernur"
"Sulawesi Tengah","Kabupaten Morowali Utara",2026,,"SK Gubernur"
"Sulawesi Tengah","Kota Palu",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Kepulauan Selayar",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Bulukumba",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Bantaeng",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Jeneponto",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Takalar",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Gowa",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Sinjai",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Maros",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Pangkajene Dan Kepulauan",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Barru",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Bone",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Soppeng",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Wajo",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Sidenreng Rappang",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Pinrang",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Enrekang",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Luwu",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Tana Toraja",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Luwu Utara",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Luwu Timur",2026,,"SK Gubernur"
"Sulawesi Selatan","Kabupaten Toraja Utara",2026,,"SK Gubernur"
"Sulawesi Selatan","Kota Makassar",2026,,"SK Gubernur"
"Sulawesi Selatan","Kota Parepare",2026,,"SK Gubernur"
"Sulawesi Selatan","Kota Palopo",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Buton",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Muna",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Konawe",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Kolaka",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Konawe Selatan",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Bombana",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Wakatobi",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Kolaka Utara",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Buton Utara",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Konawe Utara",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Kolaka Timur",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Konawe Kepulauan",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Muna Barat",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Buton Tengah",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kabupaten Buton Selatan",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kota Kendari",2026,,"SK Gubernur"
"Sulawesi Tenggara","Kota Baubau",2026,,"SK Gubernur"
"Gorontalo","Kabupaten Boalemo",2026,,"SK Gubernur"
"Gorontalo","Kabupaten Gorontalo",2026,,"SK Gubernur"
"Gorontalo","Kabupaten Pohuwato",2026,,"SK Gubernur"
"Gorontalo","Kabupaten Bone Bolango",2026,,"SK Gubernur"
"Gorontalo","Kabupaten Gorontalo Utara",2026,,"SK Gubernur"
"Gorontalo","Kota Gorontalo",2026,,"SK Gubernur"
"Sulawesi Barat","Kabupaten Majene",2026,,"SK Gubernur"
"Sulawesi Barat","Kabupaten Polewali Mandar",2026,,"SK Gubernur"
"Sulawesi Barat","Kabupaten Mamasa",2026,,"SK Gubernur"
"Sulawesi Barat","Kabupaten Mamuju",2026,,"SK Gubernur"
"Sulawesi Barat","Kabupaten Mamuju Utara",2026,,"SK Gubernur"
"Sulawesi Barat","Kabupaten Mamuju Tengah",2026,,"SK Gubernur"
"Maluku","Kabupaten Maluku Tenggara Barat",2026,,"SK Gubernur"
"Maluku","Kabupaten Maluku Tenggara",2026,,"SK Gubernur"
"Maluku","Kabupaten Maluku Tengah",2026,,"SK Gubernur"
"Maluku","Kabupaten Buru",2026,,"SK Gubernur"
"Maluku","Kabupaten Kepulauan Aru",2026,,"SK Gubernur"
"Maluku","Kabupaten Seram Bagian Barat",2026,,"SK Gubernur"
"Maluku","Kabupaten Seram Bagian Timur",2026,,"SK Gubernur"
"Maluku","Kabupaten Maluku Barat Daya",2026,,"SK Gubernur"
"Maluku","Kabupaten Buru Selatan",2026,,"SK Gubernur"
"Maluku","Kota Ambon",2026,,"SK Gubernur"
"Maluku","Kota Tual",2026,,"SK Gubernur"
"Maluku Utara","Kabupaten Halmahera Barat",2026,,"SK Gubernur"
"Maluku Utara","Kabupaten Halmahera Tengah",2026,,"SK Gubernur"
"Maluku Utara","Kabupaten Kepulauan Sula",2026,,"SK Gubernur"
"Maluku Utara","Kabupaten Halmahera Selatan",2026,,"SK Gubernur"
"Maluku Utara","Kabupaten Halmahera Utara",2026,,"SK Gubernur"
"Maluku Utara","Kabupaten Halmahera Timur",2026,,"SK Gubernur"
"Maluku Utara","Kabupaten Pulau Morotai",2026,,"SK Gubernur"
"Maluku Utara","Kabupaten Pulau Taliabu",2026,,"SK Gubernur"
"Maluku Utara","Kota Ternate",2026,,"SK Gubernur"
"Maluku Utara","Kota Tidore Kepulauan",2026,,"SK Gubernur"
"Papua Barat","Kabupaten Fakfak",2026,,"SK Gubernur"
"Papua Barat","Kabupaten Kaimana",2026,,"SK Gubernur"
"Papua Barat","Kabupaten Teluk Wondama",2026,,"SK Gubernur"
"Papua Barat","Kabupaten Teluk Bintuni",2026,,"SK Gubernur"
"Papua Barat","Kabupaten Manokwari",2026,,"SK Gubernur"
"Papua Barat","Kabupaten Sorong Selatan",2026,,"SK Gubernur"
"Papua Barat","Kabupaten Sorong",2026,,"SK Gubernur"
"Papua Barat","Kabupaten Raja Ampat",2026,,"SK Gubernur"
"Papua Barat","Kabupaten Tambrauw",2026,,"SK Gubernur"
"Papua Barat","Kabupaten Maybrat",2026,,"SK Gubernur"
"Papua Barat","Kabupaten Manokwari Selatan",2026,,"SK Gubernur"
"Papua Barat","Kabupaten Pegunungan Arfak",2026,,"SK Gubernur"
"Papua Barat","Kota Sorong",2026,,"SK Gubernur"
"Papua","Kabupaten Merauke",2026,,"SK Gubernur"
"Papua","Kabupaten Jayawijaya",2026,,"SK Gubernur"
"Papua","Kabupaten Jayapura",2026,,"SK Gubernur"
"Papua","Kabupaten Nabire",2026,,"SK Gubernur"
"Papua","Kabupaten Kepulauan Yapen",2026,,"SK Gubernur"
"Papua","Kabupaten Biak Numfor",2026,,"SK Gubernur"
"Papua","Kabupaten Paniai",2026,,"SK Gubernur"
"Papua","Kabupaten Puncak Jaya",2026,,"SK Gubernur"
"Papua","Kabupaten Mimika",2026,,"SK Gubernur"
"Papua","Kabupaten Boven Digoel",2026,,"SK Gubernur"
"Papua","Kabupaten Mappi",2026,,"SK Gubernur"
"Papua","Kabupaten Asmat",2026,,"SK Gubernur"
"Papua","Kabupaten Yahukimo",2026,,"SK Gubernur"
"Papua","Kabupaten Pegunungan Bintang",2026,,"SK Gubernur"
"Papua","Kabupaten Tolikara",2026,,"SK Gubernur"
"Papua","Kabupaten Sarmi",2026,,"SK Gubernur"
"Papua","Kabupaten Keerom",2026,,"SK Gubernur"
"Papua","Kabupaten Waropen",2026,,"SK Gubernur"
"Papua","Kabupaten Supiori",2026,,"SK Gubernur"
"Papua","Kabupaten Mamberamo Raya",2026,,"SK Gubernur"
"Papua","Kabupaten Nduga",2026,,"SK Gubernur"
"Papua","Kabupaten Lanny Jaya",2026,,"SK Gubernur"
"Papua","Kabupaten Mamberamo Tengah",2026,,"SK Gubernur"
"Papua","Kabupaten Yalimo",2026,,"SK Gubernur"
"Papua","Kabupaten Puncak",2026,,"SK Gubernur"
"Papua","Kabupaten Dogiyai",2026,,"SK Gubernur"
"Papua","Kabupaten Intan Jaya",2026,,"SK Gubernur"
"Papua","Kabupaten Deiyai",2026,,"SK Gubernur"
"Papua","Kota Jayapura",2026,,"SK Gubernur"
